student_name,physics_chapters,Questions_from_that_physics_chapter,Question,Option 1,Option 2,Option 3,Option 4,Correct Answer,Marks_in_physics,chemistry_chapters,Questions_from_that_chemistry_chapter,Marks_in_chemistry,mathematics_chapters,Questions_from_that_mathematics_chapter,Marks_in_mathematics,Strength_in_physics,Strength_in_chemistry,Strength_in_mathematics
Student A,Kinematics,Projectile motion,In projectile motion, the horizontal range is maximum when the angle of projection is,30°,45°,60°,90°,4,Atomic Structure,Bohr's model,4,Quadratic Equations,Roots of quadratic,3,yes,yes,yes
Student A,Laws of Motion,Newton's laws,Newton's second law of motion states that force is equal to,Mass times acceleration,Mass times velocity,Acceleration divided by mass,Velocity divided by time,Mass times acceleration,3,Chemical Bonding,Molecular orbital theory,2,Matrices,Matrix operations,2,yes,no,no
Student A,"Work, Energy and Power",Work done by forces,Work done by a constant force is calculated as,Force × distance × sinθ,Force × distance × cosθ,Force × displacement × sinθ,Force × displacement × cosθ,Force × displacement × cosθ,2,Thermodynamics,First law of thermodynamics,3,Determinants,Properties of determinants,4,no,yes,yes
Student A,Gravitation,Gravitational force,Gravitational force between two objects is inversely proportional to the,Distance between the objects squared,Distance between the objects,Sum of the masses,Square of the sum of masses,Distance between the objects squared,4,Equilibrium,Le Chatelier's principle,4,Probability,Bayes' theorem,1,yes,yes,no
Student A,Oscillations,Simple harmonic motion,The period of simple harmonic motion is given by,2π√(m/k),π√(m/k),2π√(k/m),π√(k/m),2π√(m/k),1,Redox Reactions,Oxidation numbers,1,Trigonometry,Sine and cosine rules,4,no,no,yes
Student A,Thermodynamics,Heat engines,Which law of thermodynamics is associated with heat engines?,First law of thermodynamics,Second law of thermodynamics,Third law of thermodynamics,Law of conservation of energy,Second law of thermodynamics,4,Chemical Kinetics,Rate law,4,Limits,L'Hopital's rule,3,yes,yes,yes
Student A,Electrostatics,Coulomb's law,The force between two charges is calculated using,Coulomb's law,Ohm's law,Newton's law,Gauss's law,Coulomb's law,3,Electrochemistry,Nernst equation,2,Differentiation,Derivative of functions,4,yes,no,yes
Student A,Magnetism,Magnetic force,Magnetic force on a moving charge depends on,Velocity,Mass,Charge,All of the above,All of the above,4,Surface Chemistry,Adsorption,3,Integration,Definite integrals,2,yes,yes,no
Student A,Waves,Sound waves,The frequency of a sound wave determines its,Amplitude,Speed,Loudness,Pitch,Pitch,2,Coordination Compounds,Crystal field theory,4,Complex Numbers,Modulus of complex numbers,1,no,yes,no
Student A,Optics,Lens formula,The lens formula is given as,1/f = 1/v + 1/u,1/f = v/u,1/f = u/v,1/f = v/u^2,1/f = 1/v + 1/u,4,Haloalkanes,SN1 reaction,1,Vectors,Dot product,4,yes,no,yes
Student A,Modern Physics,Photoelectric effect,Which of the following explains the photoelectric effect?,Energy is absorbed as light,Light knocks out electrons,Light causes heat,Electrons are created by light,Light knocks out electrons,3,Aldehydes and Ketones,Nucleophilic addition,2,3D Geometry,Equation of lines,3,yes,no,yes
Student A,Dual Nature of Matter,De Broglie waves,De Broglie wavelength is associated with,Particles with momentum,Stationary objects,Light,Radio waves,Particles with momentum,1,Amines,Basicity of amines,4,Statistics,Mean and variance,4,no,yes,yes
Student A,Electromagnetic Waves,Wave propagation,Wave propagation in a medium involves,Energy transfer,Particle creation,Temperature change,Pressure drop,Energy transfer,2,Biomolecules,Enzymes,3,Permutations and Combinations,Arrangements,2,no,yes,no
Student A,Semiconductors,P-N junction,In a P-N junction, the depletion region is formed due to,Diffusion of electrons,Creation of electrons,Combination of holes and electrons,Movement of protons,4,Polymers,Addition polymerization,2,Conic Sections,Ellipses,4,yes,no,yes
Student A,Communication Systems,Amplitude modulation,Amplitude modulation is used in,Radio broadcasting,Television,Mobile phones,Optical fibers,Radio broadcasting,2,Environmental Chemistry,Green chemistry,4,Coordinate Geometry,Distance formula,3,no,yes,yes
Student A,Electric Current,Ohm's law,Ohm's law is expressed as,V=IR,I=V/R,R=V/I,P=IV,V=IR,4,Organic Chemistry: Basics,Hybridization,3,Algebra,Polynomials,4,yes,yes,yes
